OrderDate,Region,Rep,Item,Units,Unit Cost,Total
06-01-2021,East,Jones,Pencil,95,1.99,189.05
23-01-2021,Central,Kivell,Binder,50,19.99,999.5
09-02-2021,Central,Jardine,Pencil,36,4.99,179.64
26-02-2021,Central,Gill,Pen,27,19.99,539.73
15-03-2021,West,Sorvino,Pencil,56,2.99,167.44
01-04-2021,East,Jones,Binder,60,4.99,299.4
18-04-2021,Central,Andrews,Pencil,75,1.99,149.25
05-05-2021,Central,Jardine,Pencil,90,4.99,449.1
22-05-2021,West,Thompson,Pencil,32,1.99,63.68
08-06-2021,East,Jones,Binder,60,8.99,539.4
25-06-2021,Central,Morgan,Pencil,90,4.99,449.1
12-07-2021,East,Howard,Binder,29,1.99,57.71
29-07-2021,East,Parent,Binder,81,19.99,1619.19
15-08-2021,East,Jones,Pencil,35,4.99,174.65
01-09-2021,Central,Smith,Desk,2,125,250
18-09-2021,East,Jones,Pen Set,16,15.99,255.84
05-10-2021,Central,Morgan,Binder,28,8.99,251.72
22-10-2021,East,Jones,Pen,64,8.99,575.36
08-11-2021,East,Parent,Pen,15,19.99,299.85
25-11-2021,Central,Kivell,Pen Set,96,4.99,479.04
12-12-2021,Central,Smith,Pencil,67,1.29,86.43
29-12-2021,East,Parent,Pen Set,74,15.99,1183.26
15-01-2022,Central,Gill,Binder,46,8.99,413.54
01-02-2022,Central,Smith,Binder,87,15,1305
18-02-2022,East,Jones,Binder,4,4.99,19.96
07-03-2022,West,Sorvino,Binder,7,19.99,139.93
24-03-2022,Central,Jardine,Pen Set,50,4.99,249.5
10-04-2022,Central,Andrews,Pencil,66,1.99,131.34
27-04-2022,East,Howard,Pen,96,4.99,479.04
14-05-2022,Central,Gill,Pencil,53,1.29,68.37
31-05-2022,Central,Gill,Binder,80,8.99,719.2
17-06-2022,Central,Kivell,Desk,5,125,625
04-07-2022,East,Jones,Pen Set,62,4.99,309.38
21-07-2022,Central,Morgan,Pen Set,55,12.49,686.95
07-08-2022,Central,Kivell,Pen Set,42,23.95,1005.9
24-08-2022,West,Sorvino,Desk,3,275,825
10-09-2022,Central,Gill,Pencil,7,1.29,9.03
27-09-2022,West,Sorvino,Pen,76,1.99,151.24
14-10-2022,West,Thompson,Binder,57,19.99,1139.43
31-10-2022,Central,Andrews,Pencil,14,1.29,18.06
17-11-2022,Central,Jardine,Binder,11,4.99,54.89
04-12-2022,Central,Jardine,Binder,94,19.99,1879.06
21-12-2022,Central,Andrews,Binder,28,4.99,139.72
